vocabulary_item_id,question_text,options,answer_index,explanation
b8c8e1f1-95b9-4a4a-9163-2f7a3e9a3e9a,「抽象的」の対義語はどれですか？,"[""具体的"",""観念的"",""歴史的"",""経済的""]",0,"「抽象的」は具体的な形がなく、観念的な事柄を指します。その対義語は「具体的」です。"
a1b2c3d4-e5f6-7890-1234-567890abcdef,「具体的に」の対義語はどれですか？,"[""抽象的に"",""積極的に"",""悲観的に"",""効果的に""]",0,"「具体的に」ははっきりとした形や実体があることを示し、その反対は「抽象的に」です。"
b2c3d4e5-f6a7-8901-2345-67890abcdef1,「潜在的」の意味として最も適切なものはどれですか？,"[""表面には現れていないが、内部に隠れて存在するさま"",""すでに表面に現れて、はっきりとわかるさま"",""非常に珍しく、価値があるさま"",""ごくありふれていて、珍しくないさま""]",0,"「潜在的」は、まだ表面には現れていないが、将来現れる可能性を秘めている状態を指します。"
c3d4e5f6-a7b8-9012-3456-7890abcdef12,「顕在化」の対義語はどれですか？,"[""潜在化"",""明確化"",""単純化"",""複雑化""]",0,"「顕在化」は問題などがはっきりと現れることを意味し、その対義語は隠れて見えなくなる「潜在化」です。"
d4e5f6a7-b8c9-0123-4567-890abcdef123,「経済的」の例文として最も適切なものはどれですか？,"[""彼は経済的な理由で大学進学を諦めた"",""彼女の絵は非常に経済的だ"",""この説明は経済的で分かりやすい"",""彼は経済的な知識が豊富だ""]",0,"「経済的」はお金に関わることを意味します。「経済的な理由」は「お金の理由」ということです。"
e5f6a7b8-c9d0-1234-5678-90abcdef1234,「環境問題」の具体例として適切でないものはどれですか？,"[""地球温暖化"",""大気汚染"",""森林破壊"",""技術革新""]",3,"「技術革新」は新しい技術を生み出すことであり、直接的な環境問題の例ではありません。"
f6a7b8c9-d0e1-2345-6789-0abcdef12345,「妥当性」の意味として最も適切なものはどれですか？,"[""物事が道理にかない、適切であること"",""物事が非常に珍しいこと"",""物事が疑わしいこと"",""物事が非効率であること""]",0,"「妥当性」は、考えや判断などが道理にかなっており、適切であることを意味します。"
a7b8c9d0-e1f2-3456-7890-bcdef1234567,「曖昧」の類義語はどれですか？,"[""不明確"",""明白"",""正確"",""簡潔""]",0,"「曖昧」は、はっきりしない、不明確な状態を表す言葉です。"
b8c9d0e1-f2a3-4567-8901-cdef12345678,「抑制」の意味として最も適切なものはどれですか？,"[""感情や行動などを抑えること"",""物事を積極的に進めること"",""新しいものを生み出すこと"",""隠れていたものを明らかにすること""]",0,"「抑制」は、感情の高ぶりや行動などを抑え、コントロールすることを意味します。"
c9d0e1f2-a3b4-5678-9012-def123456789,「革新」の対義語はどれですか？,"[""保守"",""進歩"",""改善"",""発展""]",0,"「革新」は物事を新しく変えることであり、古いものを守ろうとする「保守」が対義語です。"
